SNO,Protein A,Protein B,UniProtID A,UniProtID B,PDB ID A,PDB ID B
436,CPSF6,HNRNPM,Q6NVF9,P52272,No 3D Structure,"2DGV, 2DH9, 2DO0, 2OT8"
437,DHX9,SFPQ,Q5R874,Q8VIJ6,No 3D Structure,No 3D Structure
438,MARK3,YWHAE,Q8VHF0,P62258,No 3D Structure,"2BR9, 3UAL, 3UBW, 6EIH, 7C8E, 7V9B, 8DGM, 8DGN, 8DGP, 8DP5, 8Q1S"
439,PINK1,HSPA4,B5DFG1,O88600,No 3D Structure,No 3D Structure
440,HSCB,ISCA1,Q8IWL3,Q9BUE6,3BVO,No 3D Structure
441,UCHL1,PARK7,Q6SEG5,Q5XJ36,No 3D Structure,No 3D Structure
442,EIF4EBP3,EIF4E2,O60516,O60573,No 3D Structure,"2JGB, 2JGC, 5NVK, 5NVL, 5NVM, 5NVN, 5XLN"
443,HNRNPU,ILF2,Q8VEK3,Q12905,No 3D Structure,No 3D Structure
444,HSPA4,APP,O88600,A2VEY9,No 3D Structure,No 3D Structure
445,PMPCA,NDUFA9,Q10713,Q16795,No 3D Structure,"5XTB, 5XTD, 5XTH, 5XTI"
446,VAPB,SNX2,O95292,Q9CWK8,"2MDK, 3IKK",No 3D Structure
447,FAF1,HSPA4,P54731,O88600,No 3D Structure,No 3D Structure
448,IFNA4,IFNA2,P05014,P01563,No 3D Structure,"1ITF, 1RH2, 2HYM, 2KZ1, 2LAG, 2LMS, 3S9D, 3SE3, 4YPG, 4Z5R"
449,YAP1,SFN,A0A8C0NGY6,O70456,No 3D Structure,No 3D Structure
450,CELF1,TARDBP,Q4QQT3,Q13148,No 3D Structure,"1WF0, 2CQG, 2N2C, 2N3X, 2N4G, 2N4H, 2N4P, 4BS2, 4IUF, 4Y00, 4Y0F, 5MDI, 5MRG, 5W50, 5W52, 5W7V, 5WHN, 5WHP, 5WIA, 5WIQ, 5WKB, 5WKD, 5X4F, 6B1G, 6CF4, 6CFH, 6N37, 6N3A, 6N3B, 6N3C, 6T4B, 7KWZ, 7N9H, 7PY2, 7Q3U, 8A6I, 8CG3, 8CGG, 8CGH, 8QX9, 8QXA, 8QXB, 9FOF, 9FOR"
451,ACO2,RPS18,Q94A28,P62269,No 3D Structure,"4UG0, 4V6X, 5A2Q, 5AJ0, 5FLX, 5LKS, 5OA3, 5T2C, 5VYC, 6FEC, 6G18, 6G4S, 6G4W, 6G51, 6G53, 6G5H, 6G5I, 6IP5, 6IP6, 6IP8, 6OLE, 6OLF, 6OLG, 6OLI, 6OLZ, 6OM0, 6OM7, 6QZP, 6XA1, 6Y0G, 6Y2L, 6Y57, 6YBS, 6Z6L, 6Z6M, 6Z6N, 6ZLW, 6ZM7, 6ZME, 6ZMI, 6ZMO, 6ZMT, 6ZMW, 6ZN5, 6ZOJ, 6ZOL, 6ZON, 6ZP4, 6ZUO, 6ZV6, 6ZVH, 6ZVJ, 6ZXD, 6ZXE, 6ZXF, 6ZXG, 6ZXH, 7A09, 7K5I, 7QP6, 7QP7, 7R4X, 7TQL, 7WTT, 7WTU, 7WTV, 7WTW, 7WTX, 7WTZ, 7WU0, 7XNX, 7XNY, 8G5Y, 8G60, 8G61, 8G6J, 8GLP, 8IFD, 8IFE, 8JDJ, 8JDK, 8JDL, 8JDM, 8K2C, 8OZ0, 8PJ1, 8PJ2, 8PJ3, 8PJ4, 8PJ5, 8PJ6, 8PPK, 8PPL, 8QOI, 8T4S, 8UKB, 8XP2, 8XP3, 8XSX, 8XSY, 8XSZ, 8XXL, 8XXM, 8XXN, 8Y0W, 8Y0X, 8YOO, 8YOP, 8ZDB, 8ZDC, 8ZDD, 9BKD, 9BLN, 9C3H, 9G8M, 9G8O"
452,HDAC4,YWHAE,Q6NZM9,P62258,No 3D Structure,"2BR9, 3UAL, 3UBW, 6EIH, 7C8E, 7V9B, 8DGM, 8DGN, 8DGP, 8DP5, 8Q1S"
453,HDAC6,HSPA4,Q9UBN7,O88600,"3C5K, 3GV4, 3PHD, 5B8D, 5EDU, 5KH3, 5KH7, 5KH9, 5WBN, 5WPB, 6CE6, 6CE8, 6CEA, 6CEC, 6CED, 6CEE, 6CEF, 7ZYU, 8G43, 8G44, 8G45",No 3D Structure
454,HNRNPU,U2AF2,Q8VEK3,P26368,No 3D Structure,"1JMT, 1O0P, 1OPI, 1U2F, 2G4B, 2HZC, 2M0G, 2U2F, 2YH0, 2YH1, 3VAF, 3VAG, 3VAH, 3VAI, 3VAJ, 3VAK, 3VAL, 3VAM, 4FXW, 4TU7, 4TU8, 4TU9, 5EV1, 5EV2, 5EV3, 5EV4, 5W0G, 5W0H, 6TR0, 6XLV, 6XLW, 6XLX, 7S3A, 7S3B, 7S3C, 7SN6, 8P25, 9C7A, 9C7B, 9DWU"
455,HNRNPK,RALY,P61979,Q64012,No 3D Structure,No 3D Structure
456,PTBP1,FUS,P26599,P56959,"1QM9, 1SJQ, 1SJR, 2AD9, 2ADB, 2ADC, 2EVZ, 2N3O, 3ZZY, 3ZZZ, 8BGF, 8BWF",No 3D Structure
457,CS,SLC25A4,A0A2P1GIW2,P12235,6RT8,No 3D Structure
458,SYNCRIP,SMN1,O60506,P97801,"2DGU, 2MXT, 2NBB, 6KOR",No 3D Structure
459,ACO2,RPL23,Q94A28,P62829,No 3D Structure,"4UG0, 4V6X, 5AJ0, 5LKS, 5T2C, 6IP5, 6IP6, 6IP8, 6LQM, 6LSR, 6LSS, 6LU8, 6OLE, 6OLF, 6OLG, 6OLI, 6OLZ, 6OM0, 6OM7, 6QZP, 6XA1, 6Y0G, 6Y2L, 6Y57, 6Y6X, 6Z6L, 6Z6M, 6Z6N, 6ZM7, 6ZME, 6ZMI, 6ZMO, 7F5S, 7OW7, 7XNX, 7XNY, 8A3D, 8FKP, 8FKQ, 8FKR, 8FKS, 8FKT, 8FKU, 8FKV, 8FKW, 8FKX, 8FKY, 8FKZ, 8FL0, 8FL2, 8FL3, 8FL4, 8FL6, 8FL7, 8FL9, 8FLA, 8FLB, 8FLC, 8FLD, 8FLE, 8FLF, 8G5Y, 8G5Z, 8G60, 8G61, 8G6J, 8GLP, 8IDT, 8IDY, 8IE3, 8IFD, 8IFE, 8INE, 8INF, 8INK, 8IPD, 8IPX, 8IPY, 8IR1, 8IR3, 8JDJ, 8JDK, 8JDL, 8JDM, 8K2C, 8OHD, 8OJ0, 8OJ5, 8OJ8, 8QFD, 8QOI, 8QYX, 8RL2, 8UKB, 8XSX, 8XSY, 8XSZ, 8Y0W, 8Y0X, 8YOO, 8YOP, 9C3H, 9G8M, 9GMO"
460,RBM14,SRSF1,Q8C2Q3,Q6PDM2,No 3D Structure,1X4C
461,HNRNPM,RBM14,P52272,Q8C2Q3,"2DGV, 2DH9, 2DO0, 2OT8",No 3D Structure
462,ELAVL1,FUS,Q15717,P56959,"3HI9, 4ED5, 4EGL, 4FXV, 5SZW, 6G2K, 6GC5, 6GD1, 6GD2, 6GD3",No 3D Structure
463,PINK1,TRAF6,B5DFG1,B6CJY4,No 3D Structure,No 3D Structure
464,PSEN1,CDK5,A0A024R6A3,P48609,No 3D Structure,No 3D Structure
465,SNCA,HSPB1,Q3T0G8,Q3T149,No 3D Structure,No 3D Structure
466,CPSF6,ALYREF,Q6NVF9,Q86V81,No 3D Structure,"3ULH, 7ZNJ, 7ZNK"
467,SUCLG2,IDH3A,Q96I99,Q9D6R2,"6WCV, 7MSR, 7MSS, 7MST, 8Z02, 8Z03",No 3D Structure
468,APP,YWHAQ,A2VEY9,P68254,No 3D Structure,No 3D Structure
469,SNCA,NDUFB6,Q3T0G8,O95139,No 3D Structure,"5XTC, 5XTD, 5XTH, 5XTI"
470,BNIP3L,SQSTM1,Q9Z2F7,Q64337,No 3D Structure,"2RRU, 2ZJD, 3ADE, 3B0F, 3WDZ"
471,DTX4,TBK1,Q9Y2E6,Q9WUN2,No 3D Structure,"4JL9, 4JLC, 6O8C"
472,CLU,ORM1,A1ZAB5,P53224,No 3D Structure,"8C80, 8C81, 8C82"
473,HNRNPK,SNRNP70,P61979,P08621,No 3D Structure,"2L5I, 2L5J, 3CW1, 3PGW, 4PJO, 4PKD, 6QX9, 7B0Y, 7VPX, 8R08"
474,CSTB,CST3,P04080,P14841,"1STF, 2OCT, 4N6V",No 3D Structure
475,PINK1,OPA1,B5DFG1,O60313,No 3D Structure,"6JTG, 8CT1, 8CT9, 8EEW, 8EF7, 8EFF, 8EFR, 8EFS, 8EFT"
476,PTBP1,HNRNPA0,P26599,Q13151,"1QM9, 1SJQ, 1SJR, 2AD9, 2ADB, 2ADC, 2EVZ, 2N3O, 3ZZY, 3ZZZ, 8BGF, 8BWF",No 3D Structure
477,SDHB,DLAT,O44074,Q8BMF4,"3VR8, 3VR9, 3VRA, 3VRB, 4YSX, 4YSY, 4YSZ, 4YT0, 4YTM, 4YTN, 5C2T, 5C3J",No 3D Structure
478,IFNA4,IFNA8,P05014,P32881,No 3D Structure,6JHD
479,APP,APCS,A2VEY9,P02743,No 3D Structure,"1GYK, 1LGN, 1SAC, 2A3W, 2A3X, 2A3Y, 2W08, 3D5O, 3KQR, 4AVS, 4AVT, 4AVV, 4AYU"
480,RBMX,ELAVL1,Q9WV02,Q15717,No 3D Structure,"3HI9, 4ED5, 4EGL, 4FXV, 5SZW, 6G2K, 6GC5, 6GD1, 6GD2, 6GD3"
481,MDH2,IDH3A,P40926,Q9D6R2,"2DFD, 4WLE, 4WLF, 4WLN, 4WLO, 4WLU, 4WLV",No 3D Structure
482,RB1CC1,TBKBP1,Q8TDY2,A7MCY6,"6DCE, 6GMA, 7CZG, 7CZM, 7D0E, 7EA2, 7EAA, 8SOI, 8SQZ, 8SRM, 8W6B, 8YFK, 8YFL, 8YFM, 8YFN, 9C82, 9D34",No 3D Structure
483,PCBP1,HNRNPF,P60335,P52597,No 3D Structure,"2HGL, 2HGM, 2HGN, 2KFY, 2KG0, 2KG1, 3TFY"
484,STAT6,NFKB1,P52633,Q6F3J0,No 3D Structure,No 3D Structure
485,BDNF,APP,P23560,A2VEY9,"1B8M, 1BND",No 3D Structure
486,SRC,HSPA4,Q1JPZ3,O88600,No 3D Structure,No 3D Structure
487,ILF2,SRSF3,Q12905,P84103,No 3D Structure,"2I2Y, 2I38, 9ASQ"
488,ELAVL1,HNRNPA0,Q15717,Q13151,"3HI9, 4ED5, 4EGL, 4FXV, 5SZW, 6G2K, 6GC5, 6GD1, 6GD2, 6GD3",No 3D Structure
489,U2AF2,RBMX,P26368,Q9WV02,"1JMT, 1O0P, 1OPI, 1U2F, 2G4B, 2HZC, 2M0G, 2U2F, 2YH0, 2YH1, 3VAF, 3VAG, 3VAH, 3VAI, 3VAJ, 3VAK, 3VAL, 3VAM, 4FXW, 4TU7, 4TU8, 4TU9, 5EV1, 5EV2, 5EV3, 5EV4, 5W0G, 5W0H, 6TR0, 6XLV, 6XLW, 6XLX, 7S3A, 7S3B, 7S3C, 7SN6, 8P25, 9C7A, 9C7B, 9DWU",No 3D Structure
490,SAFB,HNRNPU,D3YXK2,Q8VEK3,No 3D Structure,No 3D Structure
491,FUS,PABPC1,P56959,P11940,No 3D Structure,"1CVJ, 1G9L, 1JGN, 1JH4, 2D9P, 2K8G, 2RQG, 2RQH, 2X04, 3KTP, 3KTR, 3KUI, 3KUJ, 3KUR, 3KUS, 3KUT, 3PKN, 3PTH, 4F02, 4F25, 4F26, 5DX1, 5DX8, 5DXA, 5LGP, 5LGQ, 5LGR, 5LGS, 7BN3, 8SMO"
492,GSN,APP,P06396,A2VEY9,"1C0F, 1C0G, 1D4X, 1DEJ, 1EQY, 1ESV, 1H1V, 1KCQ, 1MDU, 1NLV, 1NM1, 1NMD, 1P8X, 1P8Z, 1SOL, 1T44, 1YAG, 1YVN, 2FF3, 2FF6, 2FH1, 2FH2, 2FH3, 2FH4, 3A5L, 3A5M, 3A5N, 3A5O, 3CI5, 3CIP, 3CJB, 3CJC, 3FFK, 3FFN, 3TU5, 4PKG, 4PKH, 4PKI, 4S10, 4Z94, 5FAE, 5FAF, 5H3M, 5H3N, 5O2Z, 5UBO, 5ZZ0, 6H1F, 6JCO, 6JEG, 6JEH, 6LJE, 6LJF, 6Q9R, 6Q9Z, 6QBF, 6QW3, 7P2B, 8VIZ, 8VKH",No 3D Structure
493,DLST,MDH2,P42628,P40926,No 3D Structure,"2DFD, 4WLE, 4WLF, 4WLN, 4WLO, 4WLU, 4WLV"
494,ILF2,SYNCRIP,Q12905,O60506,No 3D Structure,"2DGU, 2MXT, 2NBB, 6KOR"
495,HNRNPA1,ZNF326,P09651,Q5BKZ1,"1HA1, 1L3K, 1PGZ, 1PO6, 1U1K, 1U1L, 1U1M, 1U1N, 1U1O, 1U1P, 1U1Q, 1U1R, 1UP1, 2H4M, 2LYV, 2UP1, 4YOE, 5MPG, 5MPL, 5ZGD, 5ZGL, 6BXX, 6DCL, 6J60, 7BX7, 7ZJ2, 8IK7, 8IKB, 8IKP, 8IKS, 8RZV, 8X0N, 9F1S, 9F4D, 9F4G, 9F4H, 9F4J, 9F4K, 9F4L, 9F4N, 9F4O, 9F4P, 9F4Q, 9F4R, 9F4S, 9F4T, 9F4U, 9F4V, 9F4W, 9F4X, 9F4Y, 9F4Z, 9F50, 9F51, 9F52, 9F53, 9F54, 9F55, 9F5C, 9F5D, 9F5E, 9F5F, 9F5G, 9F5K, 9F7F, 9F7H, 9GEA, 9GPJ, 9HQ9, 9HQJ, 9HQL",No 3D Structure
496,CYC1,VDAC1,P00044,Q9MZ16,"1CHH, 1CHI, 1CHJ, 1CIE, 1CIF, 1CIG, 1CIH, 1CRG, 1CRH, 1CRI, 1CRJ, 1CSU, 1CSV, 1CSW, 1CSX, 1CTY, 1CTZ, 1FHB, 1IRV, 1IRW, 1KYO, 1LMS, 1NMI, 1RAP, 1RAQ, 1S6V, 1U74, 1YCC, 1YFC, 1YIC, 2B0Z, 2B10, 2B11, 2B12, 2BCN, 2GB8, 2HV4, 2JQR, 2JTI, 2LIR, 2LIT, 2MHM, 2N18, 2ORL, 2PCC, 2YCC, 3CX5, 3TYI, 4MU8, 4N0K, 4P4Q, 4Q5P, 4QAO, 4YE1, 5CIB, 5CIC, 5CID, 5CIE, 5CIF, 5CIG, 5CIH, 5KKE, 5KLU, 5KPF, 5LFT, 5LYC, 5NCV, 5T7H, 5T8W, 6EGY, 6EGZ, 6GD6, 6GD7, 6GD8, 6GD9, 6GDA, 6P41, 6P42, 6P43, 6RGI, 6RSI, 6RSJ, 6RSK, 6RSL, 6S8Y, 6SUY, 6Y0J, 7BBT, 7MRI, 7PR2, 7PR3, 7PR4",No 3D Structure
497,HMGCL,ACO2,P35914,Q94A28,"2CW6, 3MP3, 3MP4, 3MP5",No 3D Structure
498,CLU,SNCA,A1ZAB5,Q3T0G8,No 3D Structure,No 3D Structure
499,SFN,YWHAQ,O70456,P68254,No 3D Structure,No 3D Structure
500,EWSR1,HNRNPA2B1,Q61545,P22626,No 3D Structure,"1X4B, 5EN1, 5HO4, 5WWE, 5WWF, 5WWG, 6WPQ, 6WQK, 7WM3, 8DU2, 8DUW, 8EC7, 8HNI"
501,DLD,SUCLG2,Q94AX4,Q96I99,No 3D Structure,"6WCV, 7MSR, 7MSS, 7MST, 8Z02, 8Z03"
502,HSP90AA1,CACYBP,A5A6K9,Q6AYK6,No 3D Structure,No 3D Structure
503,FUS,PSPC1,P56959,Q8WXF1,No 3D Structure,"3SDE, 5IFN, 5WPA"
504,NFKBIA,VCP,Q9Z1E3,P42660,No 3D Structure,No 3D Structure
505,ARAF,SFN,P10398,O70456,"1WXM, 2MSE, 9AXM",No 3D Structure
506,MATR3,ILF3,P43243,Q9Z1X4,No 3D Structure,"4AT7, 4AT8, 4AT9, 4ATB, 5DV7"
507,APP,SRC,A2VEY9,Q1JPZ3,No 3D Structure,No 3D Structure
508,FAM104A,VCP,Q969W3,P42660,No 3D Structure,No 3D Structure
509,HNRNPF,HNRNPH3,P52597,P31942,"2HGL, 2HGM, 2HGN, 2KFY, 2KG0, 2KG1, 3TFY",No 3D Structure
510,FUS,ILF2,P56959,Q12905,No 3D Structure,No 3D Structure
511,RBMX,HNRNPA3,Q9WV02,P51991,No 3D Structure,No 3D Structure
512,PSEN1,TRAF6,A0A024R6A3,B6CJY4,No 3D Structure,No 3D Structure
513,YWHAG,PI4KB,P61982,Q49GP3,8XI3,No 3D Structure
514,BACE1,GGA2,P56817,Q6P5E6,"1FKN, 1M4H, 1PY1, 1SGZ, 1TQF, 1UJJ, 1UJK, 1W50, 1W51, 1XN2, 1XN3, 1XS7, 1YM2, 1YM4, 2B8L, 2B8V, 2F3E, 2F3F, 2FDP, 2G94, 2HIZ, 2HM1, 2IQG, 2IRZ, 2IS0, 2NTR, 2OAH, 2OF0, 2OHK, 2OHL, 2OHM, 2OHN, 2OHP, 2OHQ, 2OHR, 2OHS, 2OHT, 2OHU, 2P4J, 2P83, 2P8H, 2PH6, 2PH8, 2Q11, 2Q15, 2QK5, 2QMD, 2QMF, 2QMG, 2QP8, 2QU2, 2QU3, 2QZK, 2QZL, 2VA5, 2VA6, 2VA7, 2VIE, 2VIJ, 2VIY, 2VIZ, 2VJ6, 2VJ7, 2VJ9, 2VKM, 2VNM, 2VNN, 2WEZ, 2WF0, 2WF1, 2WF2, 2WF3, 2WF4, 2WJO, 2XFI, 2XFJ, 2XFK, 2ZDZ, 2ZE1, 2ZHR, 2ZHS, 2ZHT, 2ZHU, 2ZHV, 2ZJH, 2ZJI, 2ZJJ, 2ZJK, 2ZJL, 2ZJM, 2ZJN, 3BRA, 3BUF, 3BUG, 3BUH, 3CIB, 3CIC, 3CID, 3CKP, 3CKR, 3DM6, 3DUY, 3DV1, 3DV5, 3EXO, 3FKT, 3H0B, 3HVG, 3HW1, 3I25, 3IGB, 3IN3, 3IN4, 3IND, 3INE, 3INF, 3INH, 3IVH, 3IVI, 3IXJ, 3IXK, 3K5C, 3K5D, 3K5F, 3K5G, 3KMX, 3KMY, 3KN0, 3KYR, 3L38, 3L3A, 3L58, 3L59, 3L5B, 3L5C, 3L5D, 3L5E, 3L5F, 3LHG, 3LNK, 3LPI, 3LPJ, 3LPK, 3MSJ, 3MSK, 3MSL, 3N4L, 3NSH, 3OHF, 3OHH, 3OOZ, 3PI5, 3QBH, 3QI1, 3R1G, 3R2F, 3RSV, 3RSX, 3RTH, 3RTM, 3RTN, 3RU1, 3RVI, 3S2O, 3S7L, 3S7M, 3SKF, 3SKG, 3TPJ, 3TPL, 3TPP, 3TPR, 3U6A, 3UDH, 3UDJ, 3UDK, 3UDM, 3UDN, 3UDP, 3UDQ, 3UDR, 3UDY, 3UFL, 3UQP, 3UQR, 3UQU, 3UQW, 3UQX, 3VEU, 3VF3, 3VG1, 3VV6, 3VV7, 3VV8, 3WB4, 3WB5, 3ZMG, 3ZOV, 4ACU, 4ACX, 4AZY, 4B00, 4B05, 4B0Q, 4B1C, 4B1D, 4B1E, 4B70, 4B72, 4B77, 4B78, 4BEK, 4BFD, 4D83, 4D85, 4D88, 4D89, 4D8C, 4DH6, 4DI2, 4DJU, 4DJV, 4DJW, 4DJX, 4DJY, 4DPF, 4DPI, 4DUS, 4DV9, 4DVF, 4EWO, 4EXG, 4FCO, 4FGX, 4FM7, 4FM8, 4FRI, 4FRJ, 4FRK, 4FRS, 4FS4, 4FSE, 4FSL, 4GID, 4GMI, 4H1E, 4H3F, 4H3G, 4H3I, 4H3J, 4HA5, 4HZT, 4I0D, 4I0E, 4I0F, 4I0G, 4I0H, 4I0I, 4I0J, 4I0Z, 4I10, 4I11, 4I12, 4I1C, 4IVS, 4IVT, 4J0P, 4J0T, 4J0V, 4J0Y, 4J0Z, 4J17, 4J1C, 4J1E, 4J1F, 4J1H, 4J1I, 4J1K, 4JOO, 4JP9, 4JPC, 4JPE, 4K8S, 4K9H, 4KE0, 4KE1, 4L7G, 4L7H, 4L7J, 4LC7, 4LXA, 4LXK, 4LXM, 4N00, 4PZW, 4PZX, 4R5N, 4R8Y, 4R91, 4R92, 4R93, 4R95, 4RCD, 4RCE, 4RCF, 4RRN, 4RRO, 4RRS, 4TRW, 4TRY, 4TRZ, 4WTU, 4WY1, 4WY6, 4X2L, 4X7I, 4XKX, 4XXS, 4YBI, 4ZPE, 4ZPF, 4ZPG, 4ZSM, 4ZSP, 4ZSQ, 4ZSR, 5CLM, 5DQC, 5ENK, 5ENM, 5EZX, 5EZZ, 5F00, 5F01, 5HD0, 5HDU, 5HDV, 5HDX, 5HDZ, 5HE4, 5HE5, 5HE7, 5HTZ, 5HU0, 5HU1, 5I3V, 5I3W, 5I3X, 5I3Y, 5IE1, 5KQF, 5KR8, 5MBW, 5MCO, 5MCQ, 5MXD, 5QCO, 5QCP, 5QCQ, 5QCR, 5QCS, 5QCT, 5QCU, 5QCV, 5QCW, 5QCX, 5QCY, 5QCZ, 5QD0, 5QD1, 5QD2, 5QD3, 5QD4, 5QD5, 5QD6, 5QD7, 5QD8, 5QD9, 5QDA, 5QDB, 5QDC, 5QDD, 5T1U, 5T1W, 5TOL, 5UYU, 5V0N, 5YGX, 5YGY, 6BFD, 6BFE, 6BFW, 6BFX, 6C2I, 6DHC, 6DMI, 6E3Z, 6EJ2, 6EJ3, 6EQM, 6FGY, 6JSE, 6JSF, 6JSG, 6JSN, 6JT3, 6JT4, 6NV7, 6NV9, 6NW3, 6OD6, 6PZ4, 6UVP, 6UVV, 6UVY, 6UWP, 6UWV, 6WNY, 7B1E, 7B1P, 7B1Q, 7D2V, 7D2X, 7D36, 7D5A, 7DCZ, 7F1D, 7MYI, 7MYR, 7MYU, 7N66",No 3D Structure
515,CPSF6,HNRNPK,Q6NVF9,P61979,No 3D Structure,No 3D Structure
516,NONO,U2AF2,Q5FVM4,P26368,No 3D Structure,"1JMT, 1O0P, 1OPI, 1U2F, 2G4B, 2HZC, 2M0G, 2U2F, 2YH0, 2YH1, 3VAF, 3VAG, 3VAH, 3VAI, 3VAJ, 3VAK, 3VAL, 3VAM, 4FXW, 4TU7, 4TU8, 4TU9, 5EV1, 5EV2, 5EV3, 5EV4, 5W0G, 5W0H, 6TR0, 6XLV, 6XLW, 6XLX, 7S3A, 7S3B, 7S3C, 7SN6, 8P25, 9C7A, 9C7B, 9DWU"
517,HSPA4,VCP,O88600,P42660,No 3D Structure,No 3D Structure
518,HSPA4,RAF1,O88600,A7E3S4,No 3D Structure,No 3D Structure
519,ELAVL1,PCBP1,Q15717,P60335,"3HI9, 4ED5, 4EGL, 4FXV, 5SZW, 6G2K, 6GC5, 6GD1, 6GD2, 6GD3",No 3D Structure
520,HNRNPL,HNRNPA0,Q8R081,Q13151,"3S01, 3TYT",No 3D Structure
521,DHX9,SRSF3,Q5R874,P84103,No 3D Structure,"2I2Y, 2I38, 9ASQ"
522,FUS,SRSF1,P56959,Q6PDM2,No 3D Structure,1X4C
523,CDK5,APP,P48609,A2VEY9,No 3D Structure,No 3D Structure
524,SLC18A2,RAB3A,Q05940,P63011,"8JSW, 8JSX, 8JT5, 8JT9, 8JTA, 8JTB, 8JTC, 8T69, 8T6A, 8T6B, 8THR, 8UCJ, 8UCK, 8UCL, 8UCM, 8UCN, 8UCO, 8UCP, 8WLJ, 8WLK, 8WLL, 8WLM, 8WRD, 8WRE, 8WVG, 8X3K, 8XO9, 8XOA, 8XOB, 9KQ8, 9KQA, 9KQE",No 3D Structure
525,SFPQ,KHDRBS1,Q8VIJ6,Q07666,No 3D Structure,"2XA6, 3QHE, 7Z89, 7Z8A, 7Z9A, 7Z9B, 7ZAB, 7ZAC, 7ZAF, 7ZAM"
526,SNRNP70,SFPQ,P08621,Q8VIJ6,"2L5I, 2L5J, 3CW1, 3PGW, 4PJO, 4PKD, 6QX9, 7B0Y, 7VPX, 8R08",No 3D Structure
527,HNRNPA1,SAFB,P09651,D3YXK2,"1HA1, 1L3K, 1PGZ, 1PO6, 1U1K, 1U1L, 1U1M, 1U1N, 1U1O, 1U1P, 1U1Q, 1U1R, 1UP1, 2H4M, 2LYV, 2UP1, 4YOE, 5MPG, 5MPL, 5ZGD, 5ZGL, 6BXX, 6DCL, 6J60, 7BX7, 7ZJ2, 8IK7, 8IKB, 8IKP, 8IKS, 8RZV, 8X0N, 9F1S, 9F4D, 9F4G, 9F4H, 9F4J, 9F4K, 9F4L, 9F4N, 9F4O, 9F4P, 9F4Q, 9F4R, 9F4S, 9F4T, 9F4U, 9F4V, 9F4W, 9F4X, 9F4Y, 9F4Z, 9F50, 9F51, 9F52, 9F53, 9F54, 9F55, 9F5C, 9F5D, 9F5E, 9F5F, 9F5G, 9F5K, 9F7F, 9F7H, 9GEA, 9GPJ, 9HQ9, 9HQJ, 9HQL",No 3D Structure
528,APOA1,ORM1,P0DMA9,P53224,No 3D Structure,"8C80, 8C81, 8C82"
529,FUS,HNRNPR,P56959,O43390,No 3D Structure,2DK2
530,STAT3,MMP1,Q6DV79,Q12372,No 3D Structure,No 3D Structure
531,FUS,DHX9,P56959,Q5R874,No 3D Structure,No 3D Structure
532,HNRNPU,TRA2B,Q8VEK3,Q3ZBT6,No 3D Structure,No 3D Structure
533,ATG9A,ATG101,Q3T904,Q9BSB4,No 3D Structure,"4WZG, 5C50, 5XUY, 5XV1, 5XV3, 5XV4, 5XV6, 8DO8"
534,TAX1BP1,TNIP1,Q3UKC1,Q15025,No 3D Structure,"7EAL, 7EAO, 7EB9, 8YFK, 8YFL, 8YFM, 8YFN, 9D34"
535,IL2RB,STAT3,P14784,Q6DV79,"2B5I, 2ERJ, 3QAZ, 4GS7, 5M5E, 6E8K, 7S2S",No 3D Structure
536,LRRK2,SH3GL1,Q5S007,Q99961,"2ZEJ, 3D6T, 5MY9, 5MYC, 6DLO, 6DLP, 6OJE, 6OJF, 6VNO, 6VP6, 6VP7, 6VP8, 6XAF, 6XR4, 7LHT, 7LHW, 7LI3, 7LI4, 7THY, 7THZ, 8FO2, 8FO7, 8FO8, 8FO9, 8SMC, 8TXZ, 8TYQ, 8TZB, 8TZC, 8TZE, 8TZF, 8TZG, 8TZH, 8U1B, 8U7H, 8U7L, 8U8A, 8U8B, 8VH4, 8VH5, 9C76, 9CHO",No 3D Structure
537,DDX5,FUS,Q5R4I9,P56959,No 3D Structure,No 3D Structure
538,HNRNPA0,HNRNPH3,Q13151,P31942,No 3D Structure,No 3D Structure
539,SNCA,STUB1,Q3T0G8,Q9UNE7,No 3D Structure,"4KBQ, 6EFK, 6NSV, 7TB1, 8EHZ, 8EI0, 8F14, 8F15, 8F16, 8F17, 8FYU, 8GCK, 8SUV"
540,HNRNPU,TARDBP,Q8VEK3,Q13148,No 3D Structure,"1WF0, 2CQG, 2N2C, 2N3X, 2N4G, 2N4H, 2N4P, 4BS2, 4IUF, 4Y00, 4Y0F, 5MDI, 5MRG, 5W50, 5W52, 5W7V, 5WHN, 5WHP, 5WIA, 5WIQ, 5WKB, 5WKD, 5X4F, 6B1G, 6CF4, 6CFH, 6N37, 6N3A, 6N3B, 6N3C, 6T4B, 7KWZ, 7N9H, 7PY2, 7Q3U, 8A6I, 8CG3, 8CGG, 8CGH, 8QX9, 8QXA, 8QXB, 9FOF, 9FOR"
541,HNRNPA0,U2AF2,Q13151,P26368,No 3D Structure,"1JMT, 1O0P, 1OPI, 1U2F, 2G4B, 2HZC, 2M0G, 2U2F, 2YH0, 2YH1, 3VAF, 3VAG, 3VAH, 3VAI, 3VAJ, 3VAK, 3VAL, 3VAM, 4FXW, 4TU7, 4TU8, 4TU9, 5EV1, 5EV2, 5EV3, 5EV4, 5W0G, 5W0H, 6TR0, 6XLV, 6XLW, 6XLX, 7S3A, 7S3B, 7S3C, 7SN6, 8P25, 9C7A, 9C7B, 9DWU"
