Protein A,Protein B,UniProtID A,UniProtID B,PDBID A,PDBID B
HSPA4,TARDBP,O88600,Q13148,No 3D Structure,"1WF0, 2CQG, 2N2C, 2N3X, 2N4G, 2N4H, 2N4P, 4BS2, 4IUF, 4Y00, 4Y0F, 5MDI, 5MRG, 5W50, 5W52, 5W7V, 5WHN, 5WHP, 5WIA, 5WIQ, 5WKB, 5WKD, 5X4F, 6B1G, 6CF4, 6CFH, 6N37, 6N3A, 6N3B, 6N3C, 6T4B, 7KWZ, 7N9H, 7PY2, 7Q3U, 8A6I, 8CG3, 8CGG, 8CGH, 8QX9, 8QXA, 8QXB, 9FOF, 9FOR"
HSPA8,VCP,P63017,P42660,3CQX,No 3D Structure
ACO2,HSPD1,Q94A28,P10809,No 3D Structure,"4PJ1, 6HT7, 6MRC, 6MRD, 7AZP, 7L7S, 8G7J, 8G7K, 8G7L, 8G7M, 8G7N, 8G7O, 8U39"
IL12RB1,IL6,P42701,P26892,"6WDP, 6WDQ, 8C7M, 8ODX, 8OE4, 8XRP, 8YI7",No 3D Structure
SMN1,HNRNPA1,P97801,P09651,No 3D Structure,"1HA1, 1L3K, 1PGZ, 1PO6, 1U1K, 1U1L, 1U1M, 1U1N, 1U1O, 1U1P, 1U1Q, 1U1R, 1UP1, 2H4M, 2LYV, 2UP1, 4YOE, 5MPG, 5MPL, 5ZGD, 5ZGL, 6BXX, 6DCL, 6J60, 7BX7, 7ZJ2, 8IK7, 8IKB, 8IKP, 8IKS, 8RZV, 8X0N, 9F1S, 9F4D, 9F4G, 9F4H, 9F4J, 9F4K, 9F4L, 9F4N, 9F4O, 9F4P, 9F4Q, 9F4R, 9F4S, 9F4T, 9F4U, 9F4V, 9F4W, 9F4X, 9F4Y, 9F4Z, 9F50, 9F51, 9F52, 9F53, 9F54, 9F55, 9F5C, 9F5D, 9F5E, 9F5F, 9F5G, 9F5K, 9F7F, 9F7H, 9GEA, 9GPJ, 9HQ9, 9HQJ, 9HQL"
YWHAB,WWTR1,P31946,Q9GZV5,"2BQ0, 2C23, 4DNK, 5N10, 6A5Q, 6BYK, 6GN0, 6GN8, 6GNJ, 6GNK, 6GNN, 6HEP, 6YGJ, 8DP5, 8EQ8, 8EQH","5N5R, 5N5T, 5N5W, 5N75, 6RHC, 6RJL, 6RJQ, 6RP6, 6SLW, 6SLX, 8R0Z"
HNRNPM,PCBP1,P52272,P60335,"2DGV, 2DH9, 2DO0, 2OT8",No 3D Structure
RBMX,SAFB,Q9WV02,D3YXK2,No 3D Structure,No 3D Structure
APOF,APOA2,Q13790,P09813,No 3D Structure,"8OQ4, 8OQ5"
IFNA2,IFNA5,P01563,P01569,"1ITF, 1RH2, 2HYM, 2KZ1, 2LAG, 2LMS, 3S9D, 3SE3, 4YPG, 4Z5R",No 3D Structure
IFNA14,IFNA6,P01570,P05013,No 3D Structure,No 3D Structure
SRSF1,SNRNP200,Q6PDM2,Q6P4T2,1X4C,No 3D Structure
HSPA8,HTT,P63017,P42858,3CQX,"2LD0, 2LD2, 3IO4, 3IO6, 3IOR, 3IOT, 3IOU, 3IOV, 3IOW, 3LRH, 4FE8, 4FEB, 4FEC, 4FED, 4RAV, 6EZ8, 6N8C, 6RMH, 6X9O, 6YEJ, 7DXJ, 7DXK, 8R2O, 8SAH, 8VLX, 8W15"
SNCA,KLC1,Q3T0G8,O88447,No 3D Structure,"6FUZ, 6FV0"
FUS,SMN1,P56959,P97801,No 3D Structure,No 3D Structure
HDAC6,ATXN3,Q9UBN7,Q9CVD2,"3C5K, 3GV4, 3PHD, 5B8D, 5EDU, 5KH3, 5KH7, 5KH9, 5WBN, 5WPB, 6CE6, 6CE8, 6CEA, 6CEC, 6CED, 6CEE, 6CEF, 7ZYU, 8G43, 8G44, 8G45",No 3D Structure
HNRNPH1,HNRNPA0,P31943,Q13151,"2LXU, 6DHS, 7ZUG",No 3D Structure
HNRNPF,RBMX,P52597,Q9WV02,"2HGL, 2HGM, 2HGN, 2KFY, 2KG0, 2KG1, 3TFY",No 3D Structure
HNRNPDL,HNRNPH3,O14979,P31942,7ZIR,No 3D Structure
HNRNPDL,SRSF2,O14979,Q62093,7ZIR,No 3D Structure
OPTN,TNIP1,Q8K3K8,Q15025,5WQ4,"7EAL, 7EAO, 7EB9, 8YFK, 8YFL, 8YFM, 8YFN, 9D34"
AGRN,BGN,O00468,P21810,8S9P,No 3D Structure
NFKBIA,IRAK1,Q9Z1E3,P51617,No 3D Structure,6BFN
NUBP2,NUBP1,Q9Y5Y2,Q9R060,No 3D Structure,No 3D Structure
HNRNPA2B1,HNRNPR,P22626,O43390,"1X4B, 5EN1, 5HO4, 5WWE, 5WWF, 5WWG, 6WPQ, 6WQK, 7WM3, 8DU2, 8DUW, 8EC7, 8HNI",2DK2
HNRNPC,SNRNP70,P07910,P08621,"1TXP, 1WF2, 2MXY, 2MZ1, 3LN4","2L5I, 2L5J, 3CW1, 3PGW, 4PJO, 4PKD, 6QX9, 7B0Y, 7VPX, 8R08"
TARDBP,SFPQ,Q13148,Q8VIJ6,"1WF0, 2CQG, 2N2C, 2N3X, 2N4G, 2N4H, 2N4P, 4BS2, 4IUF, 4Y00, 4Y0F, 5MDI, 5MRG, 5W50, 5W52, 5W7V, 5WHN, 5WHP, 5WIA, 5WIQ, 5WKB, 5WKD, 5X4F, 6B1G, 6CF4, 6CFH, 6N37, 6N3A, 6N3B, 6N3C, 6T4B, 7KWZ, 7N9H, 7PY2, 7Q3U, 8A6I, 8CG3, 8CGG, 8CGH, 8QX9, 8QXA, 8QXB, 9FOF, 9FOR",No 3D Structure
HNRNPK,HNRNPA3,P61979,P51991,No 3D Structure,No 3D Structure
HNRNPK,MATR3,P61979,P43243,No 3D Structure,No 3D Structure
NDUFB11,NDUFAF3,Q9NX14,Q9BU61,"5XTC, 5XTD, 5XTH, 5XTI",No 3D Structure
CP,ORM1,P15057,P53224,"1H09, 1OBA, 2IXU, 2IXV, 2J8F, 2J8G","8C80, 8C81, 8C82"
TPPP,SNCA,D3ZQL7,Q3T0G8,No 3D Structure,No 3D Structure
HNRNPR,ILF3,O43390,Q9Z1X4,2DK2,"4AT7, 4AT8, 4AT9, 4ATB, 5DV7"
HSPD1,HSPA4,P10809,O88600,"4PJ1, 6HT7, 6MRC, 6MRD, 7AZP, 7L7S, 8G7J, 8G7K, 8G7L, 8G7M, 8G7N, 8G7O, 8U39",No 3D Structure
SNRPC,LSM4,P09234,Q9Y4Z0,"2VRD, 3CW1, 4PJO, 6ELD, 6QX9, 7VPX","3JCR, 5O9Z, 6AH0, 6AHD, 6QW6, 6QX9, 7ABG, 8H6E, 8H6J, 8H6K, 8H6L, 8QO9, 8QXD, 8QZS, 8R08, 8R09, 8R0A, 8R0B, 8RM5"
UCHL1,HSPA8,Q6SEG5,P63017,No 3D Structure,3CQX
IKBKG,HSPA4,Q9Y6K9,O88600,"2JVX, 2JVY, 3BRT, 3BRV, 3CL3, 3FX0, 4BWN, 5AAY, 5LDE, 6MI3, 6MI4, 6XX0, 6YEK, 7T2U, 7TV4, 9AZJ",No 3D Structure
VAPA,ZFYVE27,Q9P0L0,Q3TXX3,"2RR3, 6TQR",No 3D Structure
NOTCH1,ADAM10,P21783,O14672,No 3D Structure,"6BDZ, 6BE6, 8ESV"
ATXN2,SH3GL2,O70305,Q99962,No 3D Structure,"1X03, 1X04, 2D4C, 2DBM"
IL13RA2,JAK1,Q14627,P23458,3LB6,"3EYG, 3EYH, 4E4L, 4E4N, 4E5W, 4EHZ, 4EI4, 4FK6, 4GS0, 4I5C, 4IVB, 4IVC, 4IVD, 4K6Z, 4K77, 4L00, 4L01, 5E1E, 5HX8, 5IXD, 5IXI, 5KHW, 5KHX, 5L04, 5WO4, 6AAH, 6BBU, 6C7Y, 6DBN, 6ELR, 6GGH, 6HZU, 6N77, 6N78, 6N79, 6N7A, 6N7B, 6N7C, 6N7D, 6RSB, 6RSC, 6RSD, 6RSE, 6RSH, 6SM8, 6SMB, 6TPE, 6TPF, 6W8L, 8EXJ, 8S85"
NEFL,KLC3,I6L9F6,Q91W40,No 3D Structure,No 3D Structure
NDUFS3,PMPCB,O75489,O75439,"5XTB, 5XTD, 5XTH, 5XTI",No 3D Structure
CS,IDH3A,A0A2P1GIW2,Q9D6R2,6RT8,No 3D Structure
DDX5,HNRNPC,Q5R4I9,P07910,No 3D Structure,"1TXP, 1WF2, 2MXY, 2MZ1, 3LN4"
UQCRC1,CYCS,P31930,P99999,"5XTE, 5XTH, 5XTI","1J3S, 2N3Y, 2N9I, 2N9J, 3NWV, 3ZCF, 3ZOO, 5EXQ, 5O10, 5TY3, 6DUJ, 6ECJ, 6XNK"
HSP90AA1,TBK1,A5A6K9,Q9WUN2,No 3D Structure,"4JL9, 4JLC, 6O8C"
TBC1D4,YWHAZ,O60343,P63104,"3QYB, 7NIX","1IB1, 1QJA, 1QJB, 2C1J, 2C1N, 2O02, 2WH0, 3CU8, 3NKX, 3RDH, 4BG6, 4FJ3, 4HKC, 4IHL, 4N7G, 4N7Y, 4N84, 4WRQ, 4ZDR, 5D2D, 5D3F, 5EWZ, 5EXA, 5J31, 5JM4, 5M35, 5M36, 5M37, 5NAS, 5ULO, 5WXN, 5XY9, 6EF5, 6EJL, 6EWW, 6F08, 6F09, 6FN9, 6FNA, 6FNB, 6FNC, 6Q0K, 6RLZ, 6U2H, 6XAG, 6YMO, 6YO8, 6YOS, 6ZFD, 6ZFG, 7D8H, 7D8P, 7D9V, 7MFD, 7MFE, 7MFF, 7Q16, 7ZIT, 8A9G, 8AH2, 8P1H, 8QDV, 8WE2, 8WF6, 9FUM, 9FVL"
FOXO1,YWHAZ,Q6EUW2,P63104,No 3D Structure,"1IB1, 1QJA, 1QJB, 2C1J, 2C1N, 2O02, 2WH0, 3CU8, 3NKX, 3RDH, 4BG6, 4FJ3, 4HKC, 4IHL, 4N7G, 4N7Y, 4N84, 4WRQ, 4ZDR, 5D2D, 5D3F, 5EWZ, 5EXA, 5J31, 5JM4, 5M35, 5M36, 5M37, 5NAS, 5ULO, 5WXN, 5XY9, 6EF5, 6EJL, 6EWW, 6F08, 6F09, 6FN9, 6FNA, 6FNB, 6FNC, 6Q0K, 6RLZ, 6U2H, 6XAG, 6YMO, 6YO8, 6YOS, 6ZFD, 6ZFG, 7D8H, 7D8P, 7D9V, 7MFD, 7MFE, 7MFF, 7Q16, 7ZIT, 8A9G, 8AH2, 8P1H, 8QDV, 8WE2, 8WF6, 9FUM, 9FVL"
HNRNPH1,U2AF2,P31943,P26368,"2LXU, 6DHS, 7ZUG","1JMT, 1O0P, 1OPI, 1U2F, 2G4B, 2HZC, 2M0G, 2U2F, 2YH0, 2YH1, 3VAF, 3VAG, 3VAH, 3VAI, 3VAJ, 3VAK, 3VAL, 3VAM, 4FXW, 4TU7, 4TU8, 4TU9, 5EV1, 5EV2, 5EV3, 5EV4, 5W0G, 5W0H, 6TR0, 6XLV, 6XLW, 6XLX, 7S3A, 7S3B, 7S3C, 7SN6, 8P25, 9C7A, 9C7B, 9DWU"
FH,SUCLG1,P07954,P53597,"3E04, 5D6B, 5UPP, 6EBT, 6V8F, 6VBE, 7LUB","6G4Q, 6WCV, 7MSR, 7MSS, 7MST, 8Z02, 8Z03"
HNRNPC,SFPQ,P07910,Q8VIJ6,"1TXP, 1WF2, 2MXY, 2MZ1, 3LN4",No 3D Structure
MARK3,YWHAB,Q8VHF0,P31946,No 3D Structure,"2BQ0, 2C23, 4DNK, 5N10, 6A5Q, 6BYK, 6GN0, 6GN8, 6GNJ, 6GNK, 6GNN, 6HEP, 6YGJ, 8DP5, 8EQ8, 8EQH"
FOXO1,YWHAG,Q6EUW2,P61982,No 3D Structure,8XI3
WWTR1,YWHAH,Q9GZV5,Q04917,"5N5R, 5N5T, 5N5W, 5N75, 6RHC, 6RJL, 6RJQ, 6RP6, 6SLW, 6SLX, 8R0Z","2C63, 2C74, 7NMZ"
PMPCB,NDUFA9,O75439,Q16795,No 3D Structure,"5XTB, 5XTD, 5XTH, 5XTI"
HNRNPM,HNRNPA0,P52272,Q13151,"2DGV, 2DH9, 2DO0, 2OT8",No 3D Structure
HNRNPL,RBMX,Q8R081,Q9WV02,"3S01, 3TYT",No 3D Structure
SNRNP70,SSB,P08621,P0AGE0,"2L5I, 2L5J, 3CW1, 3PGW, 4PJO, 4PKD, 6QX9, 7B0Y, 7VPX, 8R08","1EQQ, 1EYG, 1KAW, 1QVC, 1SRU, 3C94, 3Q8D, 3SXU, 3UF7, 4MZ9, 4Z0U, 8TG7, 8TG8, 8TGC"
ACO2,HSPA9,Q94A28,P38646,No 3D Structure,"3N8E, 4KBO, 6NHK, 6P2U, 6PMT, 9BLS, 9BLT, 9BLU"
FUS,HNRNPK,P56959,P61979,No 3D Structure,No 3D Structure
FUS,HNRNPL,P56959,Q8R081,No 3D Structure,"3S01, 3TYT"
SERPINA1,APOA1,P01009,P0DMA9,"1ATU, 1D5S, 1EZX, 1HP7, 1IZ2, 1KCT, 1OO8, 1OPH, 1PSI, 1QLP, 1QMB, 2D26, 2QUG, 3CWL, 3CWM, 3DRM, 3DRU, 3NDD, 3NDF, 3NE4, 3T1P, 4PYW, 5IO1, 5NBU, 5NBV, 6HX4, 6I3Z, 6I4V, 6I7U, 6IAY, 6ROD, 7AEL, 7API, 7NPK, 7NPL, 8API, 8P4J, 8P4U, 8PI2, 8QZ5, 8R13, 8R21, 9API",No 3D Structure
HNRNPH1,SNRNP70,P31943,P08621,"2LXU, 6DHS, 7ZUG","2L5I, 2L5J, 3CW1, 3PGW, 4PJO, 4PKD, 6QX9, 7B0Y, 7VPX, 8R08"
HNRNPR,ILF2,O43390,Q12905,2DK2,No 3D Structure
ALYREF,SRSF2,Q86V81,Q62093,"3ULH, 7ZNJ, 7ZNK",No 3D Structure
HNRNPA3,HNRNPH2,P51991,P55795,No 3D Structure,"1WEZ, 1WG5, 6DG1, 8SGH"
SUCLG2,SUCLA2,Q96I99,Q9P2R7,"6WCV, 7MSR, 7MSS, 7MST, 8Z02, 8Z03",6G4Q
MATR3,HNRNPM,P43243,P52272,No 3D Structure,"2DGV, 2DH9, 2DO0, 2OT8"
MARK3,YWHAZ,Q8VHF0,P63104,No 3D Structure,"1IB1, 1QJA, 1QJB, 2C1J, 2C1N, 2O02, 2WH0, 3CU8, 3NKX, 3RDH, 4BG6, 4FJ3, 4HKC, 4IHL, 4N7G, 4N7Y, 4N84, 4WRQ, 4ZDR, 5D2D, 5D3F, 5EWZ, 5EXA, 5J31, 5JM4, 5M35, 5M36, 5M37, 5NAS, 5ULO, 5WXN, 5XY9, 6EF5, 6EJL, 6EWW, 6F08, 6F09, 6FN9, 6FNA, 6FNB, 6FNC, 6Q0K, 6RLZ, 6U2H, 6XAG, 6YMO, 6YO8, 6YOS, 6ZFD, 6ZFG, 7D8H, 7D8P, 7D9V, 7MFD, 7MFE, 7MFF, 7Q16, 7ZIT, 8A9G, 8AH2, 8P1H, 8QDV, 8WE2, 8WF6, 9FUM, 9FVL"
CS,SUCLG1,A0A2P1GIW2,P53597,6RT8,"6G4Q, 6WCV, 7MSR, 7MSS, 7MST, 8Z02, 8Z03"
PABPC1,SYNCRIP,P11940,O60506,"1CVJ, 1G9L, 1JGN, 1JH4, 2D9P, 2K8G, 2RQG, 2RQH, 2X04, 3KTP, 3KTR, 3KUI, 3KUJ, 3KUR, 3KUS, 3KUT, 3PKN, 3PTH, 4F02, 4F25, 4F26, 5DX1, 5DX8, 5DXA, 5LGP, 5LGQ, 5LGR, 5LGS, 7BN3, 8SMO","2DGU, 2MXT, 2NBB, 6KOR"
DDX5,HNRNPA1,Q5R4I9,P09651,No 3D Structure,"1HA1, 1L3K, 1PGZ, 1PO6, 1U1K, 1U1L, 1U1M, 1U1N, 1U1O, 1U1P, 1U1Q, 1U1R, 1UP1, 2H4M, 2LYV, 2UP1, 4YOE, 5MPG, 5MPL, 5ZGD, 5ZGL, 6BXX, 6DCL, 6J60, 7BX7, 7ZJ2, 8IK7, 8IKB, 8IKP, 8IKS, 8RZV, 8X0N, 9F1S, 9F4D, 9F4G, 9F4H, 9F4J, 9F4K, 9F4L, 9F4N, 9F4O, 9F4P, 9F4Q, 9F4R, 9F4S, 9F4T, 9F4U, 9F4V, 9F4W, 9F4X, 9F4Y, 9F4Z, 9F50, 9F51, 9F52, 9F53, 9F54, 9F55, 9F5C, 9F5D, 9F5E, 9F5F, 9F5G, 9F5K, 9F7F, 9F7H, 9GEA, 9GPJ, 9HQ9, 9HQJ, 9HQL"
BCL2,HSP90AA1,Q9JJV8,A5A6K9,No 3D Structure,No 3D Structure
GGA2,SORT1,Q6P5E6,Q6NUT7,No 3D Structure,No 3D Structure
HNRNPA1,ILF2,P09651,Q12905,"1HA1, 1L3K, 1PGZ, 1PO6, 1U1K, 1U1L, 1U1M, 1U1N, 1U1O, 1U1P, 1U1Q, 1U1R, 1UP1, 2H4M, 2LYV, 2UP1, 4YOE, 5MPG, 5MPL, 5ZGD, 5ZGL, 6BXX, 6DCL, 6J60, 7BX7, 7ZJ2, 8IK7, 8IKB, 8IKP, 8IKS, 8RZV, 8X0N, 9F1S, 9F4D, 9F4G, 9F4H, 9F4J, 9F4K, 9F4L, 9F4N, 9F4O, 9F4P, 9F4Q, 9F4R, 9F4S, 9F4T, 9F4U, 9F4V, 9F4W, 9F4X, 9F4Y, 9F4Z, 9F50, 9F51, 9F52, 9F53, 9F54, 9F55, 9F5C, 9F5D, 9F5E, 9F5F, 9F5G, 9F5K, 9F7F, 9F7H, 9GEA, 9GPJ, 9HQ9, 9HQJ, 9HQL",No 3D Structure
PSMD4,VCP,O35226,P42660,No 3D Structure,No 3D Structure
FUS,HNRNPA3,P56959,P51991,No 3D Structure,No 3D Structure
TAX1BP1,TBK1,Q3UKC1,Q9WUN2,No 3D Structure,"4JL9, 4JLC, 6O8C"
CD44,PTPRC,P20944,P08575,No 3D Structure,"1YGR, 1YGU, 5FMV, 5FN6, 5FN7, 8VSE"
SH3GL2,SH3GL3,Q99962,Q99963,"1X03, 1X04, 2D4C, 2DBM","2EW3, 2Z0V"
MAP2K1,YWHAB,Q02750,P31946,"1S9J, 2P55, 3DV3, 3DY7, 3E8N, 3EQB, 3EQC, 3EQD, 3EQF, 3EQG, 3EQH, 3EQI, 3MBL, 3ORN, 3OS3, 3PP1, 3SLS, 3V01, 3V04, 3VVH, 3W8Q, 3WIG, 3ZLS, 3ZLW, 3ZLX, 3ZLY, 3ZM4, 4AN2, 4AN3, 4AN9, 4ANB, 4ARK, 4LMN, 4MNE, 4U7Z, 4U80, 4U81, 5BX0, 5EYM, 5HZE, 5YT3, 6NYB, 6PP9, 6Q0J, 6Q0T, 6U2G, 6V2W, 6X2P, 6X2S, 6X2X, 7B3M, 7B7R, 7B94, 7B9L, 7F2X, 7M0T, 7M0U, 7M0V, 7M0W, 7M0X, 7M0Y, 7M0Z, 7MFD, 7PQV, 7UMB, 7XLP, 7XNC, 8CHF, 8DGS, 8DGT, 8YP4, 9AXA, 9AXC, 9AXH, 9AXM, 9AXX, 9AXY, 9AY7, 9AYA","2BQ0, 2C23, 4DNK, 5N10, 6A5Q, 6BYK, 6GN0, 6GN8, 6GNJ, 6GNK, 6GNN, 6HEP, 6YGJ, 8DP5, 8EQ8, 8EQH"
NDUFC2,TIMMDC1,O95298,Q9NPL8,"5XTC, 5XTD, 5XTH, 5XTI",No 3D Structure
SQSTM1,TRAF2,Q64337,Q12933,"2RRU, 2ZJD, 3ADE, 3B0F, 3WDZ","1CA4, 1CA9, 1CZY, 1CZZ, 1D00, 1D01, 1D0A, 1D0J, 1F3V, 1QSC, 3KNV, 3M06, 3M0A, 3M0D, 8T5Q"
SH3GL1,SH3GL3,Q99961,Q99963,No 3D Structure,"2EW3, 2Z0V"
DHX9,HNRNPA2B1,Q5R874,P22626,No 3D Structure,"1X4B, 5EN1, 5HO4, 5WWE, 5WWF, 5WWG, 6WPQ, 6WQK, 7WM3, 8DU2, 8DUW, 8EC7, 8HNI"
CUL7,MRPS2,D3ZEF4,Q9Y399,No 3D Structure,"3J9M, 6NU2, 6NU3, 6RW4, 6RW5, 6VLZ, 6VMI, 6ZM5, 6ZM6, 6ZS9, 6ZSA, 6ZSB, 6ZSC, 6ZSD, 6ZSE, 6ZSG, 7A5F, 7A5G, 7A5I, 7A5K, 7L08, 7OG4, 7P2E, 7PNX, 7PNY, 7PNZ, 7PO0, 7PO1, 7PO2, 7PO3, 7QI4, 7QI5, 7QI6, 8ANY, 8CSP, 8CSQ, 8CSR, 8CSS, 8CST, 8CSU, 8K2A, 8OIR, 8OIS, 8QRK, 8QRL, 8QRM, 8QRN, 8XT0, 8XT2"
NOTCH1,NOTCH2,P21783,P59773,No 3D Structure,No 3D Structure
FN1,FGA,P11276,P02671,"1MFN, 2MFN","1BBR, 1DM4, 1FPH, 1FZA, 1FZB, 1FZC, 1FZD, 1FZE, 1FZF, 1FZG, 1LT9, 1LTJ, 1N86, 1N8E, 1RE3, 1RE4, 1RF0, 1RF1, 1YCP, 2A45, 2FFD, 2H43, 2HLO, 2HOD, 2HPC, 2OYH, 2OYI, 2Q9I, 2XNX, 2XNY, 2Z4E, 3AT0, 3BVH, 3E1I, 3GHG, 3H32, 3HUS, 4F27, 5CFA"
SRC,MAPK1,Q1JPZ3,O94737,No 3D Structure,No 3D Structure
LRRK2,MAPT,Q5S007,P10636,"2ZEJ, 3D6T, 5MY9, 5MYC, 6DLO, 6DLP, 6OJE, 6OJF, 6VNO, 6VP6, 6VP7, 6VP8, 6XAF, 6XR4, 7LHT, 7LHW, 7LI3, 7LI4, 7THY, 7THZ, 8FO2, 8FO7, 8FO8, 8FO9, 8SMC, 8TXZ, 8TYQ, 8TZB, 8TZC, 8TZE, 8TZF, 8TZG, 8TZH, 8U1B, 8U7H, 8U7L, 8U8A, 8U8B, 8VH4, 8VH5, 9C76, 9CHO","1I8H, 2MZ7, 2ON9, 3OVL, 4E0M, 4E0N, 4E0O, 4FL5, 4GLR, 4NP8, 4TQE, 4Y32, 4Y3B, 4Y5I, 5BTV, 5DMG, 5E2V, 5E2W, 5HF3, 5K7N, 5MO3, 5MP1, 5MP3, 5MP5, 5N5A, 5N5B, 5NVB, 5O3L, 5O3O, 5O3T, 5V5B, 5V5C, 5ZIA, 5ZV3, 6BB4, 6CVJ, 6CVN, 6DC8, 6DC9, 6DCA, 6FAU, 6FAV, 6FAW, 6FBW, 6FBY, 6FI4, 6FI5, 6GK7, 6GK8, 6GX5, 6H06, 6HRE, 6HRF, 6LRA, 6N4P, 6NK4, 6NWP, 6NWQ, 6ODG, 6PXR, 6QJH, 6QJM, 6QJP, 6QJQ, 6TJO, 6TJX, 6VH7, 6VHA, 6VHL, 6VI3, 6XLI, 7EYC, 7KQK, 7MKF, 7MKG, 7MKH, 7NRQ, 7NRS, 7NRT, 7NRV, 7NRX, 7P65, 7P66, 7P67, 7P68, 7P6A, 7P6B, 7P6C, 7P6D, 7P6E, 7PQC, 7PQP, 7QJV, 7QJW, 7QJX, 7QJY, 7QJZ, 7QK1, 7QK2, 7QK3, 7QK5, 7QK6, 7QKF, 7QKG, 7QKH, 7QKI, 7QKJ, 7QKK, 7QKL, 7QKM, 7QKU, 7QKV, 7QKW, 7QKX, 7QKY, 7QKZ, 7QL0, 7QL1, 7QL2, 7QL3, 7QL4, 7R4T, 7R5H, 7SP1, 7U0Z, 7UPE, 7UPF, 7UPG, 7YMN, 7YPG, 8AZU, 8BGS, 8BGV, 8BYN, 8CAQ, 8CAX, 8FNZ, 8FUG, 8FYU, 8G54, 8G55, 8G58, 8GCK, 8KDX, 8OH2, 8OHI, 8OHP, 8OI0, 8OP0, 8OPI, 8ORE, 8ORF, 8ORG, 8OT6, 8OT9, 8OTC, 8OTG, 8OTH, 8OTI, 8OTJ, 8P34, 8PII, 8PPO, 8Q27, 8Q2J, 8Q2K, 8Q2L, 8Q7F, 8Q7L, 8Q7M, 8Q7P, 8Q7T, 8Q88, 8Q8C, 8Q8D, 8Q8E, 8Q8F, 8Q8L, 8Q8M, 8Q8R, 8Q8S, 8Q8U, 8Q8V, 8Q8W, 8Q8X, 8Q8Y, 8Q8Z, 8Q92, 8Q97, 8Q98, 8Q99, 8Q9A, 8Q9B, 8Q9C, 8Q9D, 8Q9E, 8Q9F, 8Q9G, 8Q9H, 8Q9I, 8Q9J, 8Q9K, 8Q9L, 8Q9M, 8Q9O, 8QCP, 8QCR, 8QDV, 8QJJ, 8R3T, 8SEH, 8SEI, 8TTL, 8TTN, 8UQ7, 8V1N, 8WCP, 8ZWL, 8ZWM, 8ZX6, 9BBL, 9BBM, 9BXI, 9BXO, 9BXQ, 9BXR, 9CGX, 9CGZ, 9CZI, 9CZL, 9EO7, 9EO9, 9EOE, 9EOG, 9EOH, 9ERM, 9ERN, 9ERO, 9G13, 9GG0, 9GG1, 9GG6, 9H5G, 9H5J, 9HBB"
RAF1,PRKCE,A7E3S4,Q02156,No 3D Structure,"2WH0, 5LIH"
HNRNPL,SYNCRIP,Q8R081,O60506,"3S01, 3TYT","2DGU, 2MXT, 2NBB, 6KOR"
ELAVL1,HNRNPH1,Q15717,P31943,"3HI9, 4ED5, 4EGL, 4FXV, 5SZW, 6G2K, 6GC5, 6GD1, 6GD2, 6GD3","2LXU, 6DHS, 7ZUG"
HNRNPA0,RBMX,Q13151,Q9WV02,No 3D Structure,No 3D Structure
HSP90AA1,VCP,A5A6K9,P42660,No 3D Structure,No 3D Structure
HNRNPM,TRA2B,P52272,Q3ZBT6,"2DGV, 2DH9, 2DO0, 2OT8",No 3D Structure
ELAVL1,HNRNPA2B1,Q15717,P22626,"3HI9, 4ED5, 4EGL, 4FXV, 5SZW, 6G2K, 6GC5, 6GD1, 6GD2, 6GD3","1X4B, 5EN1, 5HO4, 5WWE, 5WWF, 5WWG, 6WPQ, 6WQK, 7WM3, 8DU2, 8DUW, 8EC7, 8HNI"
PMPCA,NDUFS8,Q10713,O00217,No 3D Structure,"5XTB, 5XTD, 5XTH, 5XTI"
DDX5,EIF4A3,Q5R4I9,P38919,No 3D Structure,"2HXY, 2HYI, 2J0Q, 2J0S, 2J0U, 2XB2, 3EX7, 4C9B, 5MQF, 5XJC, 5YZG, 6ICZ, 6QDV, 6YVH, 7A5P, 7W59, 7W5A, 7W5B, 7ZNJ, 8C6J, 8I0W, 9FMD"
PARK7,VDAC1,Q5XJ36,Q9MZ16,No 3D Structure,No 3D Structure
UBQLN2,UBE4A,Q9UHD9,Q14139,"1J8C, 2NBV, 6MUN, 7F7X",1WGM
BIRC2,TANK,Q62210,Q92844,No 3D Structure,"1KZZ, 1L0A, 5H10"
DCTN1,SNX6,A0A287B8J2,Q6P8X1,"6ZNL, 7Z8F, 8PQW, 8PQZ, 8PR0, 8PR5, 8PTK",No 3D Structure
FMR1,G3BP1,Q06787,Q13283,"2BKD, 2FMR, 2LA5, 2QND, 4OVA, 4QVZ, 4QW2, 5DE5, 5DE8, 5DEA, 5UWJ, 5UWO","3Q90, 4FCJ, 4FCM, 4IIA, 5FW5, 6TA7, 7S17, 7SUO, 7XHF, 7XHG, 8TH1, 8TH5, 8TH6, 8TH7, 8V1L"
SIGMAR1,ITPR3,O55242,Q8WN95,No 3D Structure,No 3D Structure
WWTR1,YWHAG,Q9GZV5,P61982,"5N5R, 5N5T, 5N5W, 5N75, 6RHC, 6RJL, 6RJQ, 6RP6, 6SLW, 6SLX, 8R0Z",8XI3
IAPP,SNCA,P12968,Q3T0G8,No 3D Structure,No 3D Structure
HNRNPR,SRSF1,O43390,Q6PDM2,2DK2,1X4C
HNRNPA3,HNRNPM,P51991,P52272,No 3D Structure,"2DGV, 2DH9, 2DO0, 2OT8"
